data,abertura,alta,baixa,fechamento,ajuste_proximo,Volume
38453,10440000000,10440000000,10320000000,10340000000,7872173828,9565000
38454,10320000000,10400000000,10260000000,10400000000,7917854492,10385000
38455,10360000000,10400000000,10320000000,10360000000,7887396973,10675000
38456,10260000000,10280000000,10040000000,10040000000,7643772461,33175000
38457,10000000000,10040000000,9780000000,9830000000,7483893066,43345000
38460,9470000000,9630000000,9440000000,9520000000,7247879883,43245000
38461,9540000000,9600000000,9480000000,9480000000,7217426758,30145000
38462,9570000000,9660000000,9380000000,9400000000,7156520020,32885000
38463,9240000000,9400000000,9150000000,9320000000,7095613770,29320000
38464,9500000000,9520000000,9340000000,9340000000,7110840820,16725000
38467,9240000000,9490000000,9240000000,9490000000,7225040527,16435000
38468,9490000000,9490000000,9420000000,9420000000,7171748047,9375000
38469,9260000000,9340000000,9220000000,9280000000,7065161621,20590000
38470,9260000000,9270000000,9140000000,9200000000,7004253418,19700000
38471,9040000000,9130000000,8990000000,9040000000,6882439453,29275000
38474,9120000000,9160000000,9000000000,9110000000,6935734863,11845000
38475,9100000000,9230000000,9050000000,9100000000,6928120605,13870000
38476,9100000000,9340000000,9100000000,9290000000,7072773438,17315000
38477,9290000000,9290000000,9290000000,9290000000,7072773438,0
38478,9330000000,9510000000,9330000000,9480000000,7217426758,24680000
38481,9500000000,9550000000,9410000000,9500000000,7232652832,20035000
38482,9560000000,9590000000,9510000000,9540000000,7263105957,10675000
38483,9500000000,9510000000,9430000000,9440000000,7186971191,17300000
38484,9480000000,9600000000,9480000000,9500000000,7232652832,20860000
38485,9500000000,9700000000,9440000000,9630000000,7331628418,20545000
38488,9700000000,9800000000,9680000000,9760000000,7430599121,17350000
38489,9800000000,9860000000,9670000000,9790000000,7453441406,18175000
38490,9890000000,9900000000,9780000000,9790000000,7453441406,17095000
38491,9860000000,10020000000,9850000000,9970000000,7590479980,25435000
38492,9990000000,10040000000,9900000000,9970000000,7590479980,11685000
38495,9920000000,9970000000,9890000000,9960000000,7582866211,8045000
38496,9930000000,9970000000,9860000000,9900000000,7537187988,12750000
38497,9870000000,9930000000,9670000000,9690000000,7377304688,21315000
38498,9630000000,9700000000,9590000000,9640000000,7339237305,13895000
38499,9800000000,9860000000,9730000000,9800000000,7461052246,18775000
38502,9800000000,9880000000,9800000000,9870000000,7514348633,11435000
